its my job	é o meu trabalho
we knew this	nós sabíamos disso
i washed it	eu o lavei
he is happy	ele é feliz
i am like him	eu sou como ele
they won	eles venceram
keep reading	continue lendo
how tragic	que trágico
is tom drunk	o tom está bêbado
lets go eat	vamos comer
im hot	tenho calor
he is alone	ele está sozinho
cain was evil	cain era malvado
how lovely	que amável
ill win	vou vencer
ill get you	vou te pegar
take it easy	acalmese
take tom	leva o tom
toms gone	tom se foi
im the best	eu sou o melhor
tom is mad	tom está insano
were crazy	a gente é maluco
shut up	cala a boca
i will learn	eu aprenderei
i also went	eu também fui
dont ask	não pergunte
contact tom	contacte o tom
contact tom	contactem o tom
youre old	sois velhas
thats true	isso é verdade
have courage	tenha coragem
were hiding	nós estamos nos escondendo
it isnt tom	esse não é o tom
i hate milk	eu odeio leite
go get a beer	vá pegar uma cerveja
start now	comece agora
can we talk	podemos conversar
we need time	precisamos de tempo
toms alive	tom está vivo
start again	começa de novo
im tired	estou cansado
my eyes itch	meus olhos coçam
i have cash	eu tenho dinheiro
you idiot	idiota
are you tired	você está cansada
memorize it	memorize
dont be evil	não seja má
i feel lost	eu me sinto perdido
we agreed	nós concordamos
its too big	é muito grande
im winning	estou vencendo
well try	a gente vai tentar
tom cares	tom se importa
i want a dog	eu quero um cachorro
im broke	estou quebrado
i like that	curto isso
well win	venceremos
are you ok	vocês estão bem
nobody came	não veio ninguém
ignore them	ignoreas
i am single	estou solteiro
get some rest	descanse um pouco
i was bored	eu estava entediada
have fun	divertete
i just ate	acabei de comer
im sorry	me desculpe
im hungry	quero comer
keep it	fiquem com ela
ive no idea	não tenho ideia
i must study	eu preciso estudar
i need more	preciso de mais
im fighting	eu estou lutando
tom refused	tom recusou
im broke	eu estou duro
tom is weak	tom é fraco
i slipped	eu escorreguei
am i early	cheguei cedo
im busy	estou ocupado
i was sick	eu estava doente
they fell	sentiram
whats wrong	o que está errado
tom felt sad	tom se sentiu triste
is it for me	é para mim
youre wise	você é sábio
i saw that	eu vi
get real	acorda
keep digging	continuem cavando
youre old	você é velha
hes too busy	ele está muito ocupado
we remember	nós lembramos
get out	saia
im fine now	eu estou bem agora
go on	vá
youre brave	você é valente
i was hiding	eu estava me escondendo
im a vegan	eu sou vegana
it helps	isso ajuda
tom failed	tom falhou
im through	acabei
youre shy	você está tímida
help me tom	ajudeme tom
well wait	nós vamos esperar
im special	eu sou especial
tom tripped	tom disparou
well scream	nós vamos gritar
tom told us	tom nos disse
i laughed	ri
attack	atacar
help me	ajudeme
get a move on	mexase
it happens	isso acontece
wake up	acordem
im a farmer	eu sou um agricultor
wake up tom	acorda tom
i need air	eu preciso de ar
get down	deitemse
are they gone	elas foram embora
theyre back	eles voltaram
am i right	eu estou certo
goodbye	tchau
tom will pay	tom vai pagar
i dont snore	eu não ronco
he can read	ele sabe ler
tom got sick	tom ficou doente
do it for tom	façam isso pelo tom
im like tom	eu sou como o tom
someone came	alguém veio
well attack	atacaremos
im managing	estou conseguindo
im lying	estou mentindo
im dieting	estou de dieta
what a pain	que dor
bring backup	tragam reforço
i like that	eu gosto disto
how pathetic	que patético
do it again	faz outra vez
i liked tom	gostei de tom
im thin	eu sou magro
help me out	ajudeme a sair
sing along	cante junto
hes not sick	ele não está doente
tom won	tom ganhou
did tom reply	o tom respondeu
i like girls	gosto de meninas
ill explain	explicarei
was she seen	ela foi vista
thats good	isso é bom
dont look up	não olhe para cima
he shot at me	ele atirou em mim
tom likes me	o tom gosta de mim
were late	estamos atrasados
give him time	dêlhe tempo
have another	tome outro
are you home	você está em casa
i dont dream	eu não sonho
tom waved	tom acenou
im hungry	estou faminto
i am a boy	eu sou um menino
i cut myself	eu me cortei
listen	escute
i am sure	tenho certeza
its locked	está trancado
look at that	olhe para aquilo
i believe tom	eu acredito no tom
he mocked me	ele zombou de mim
who escaped	quem escapou
i drank milk	eu bebi leite
did i win	eu ganhei
be still	acalmese
i keep a dog	eu tenho um cachorro
stop smoking	pare de fumar
call me later	me liga depois
look alive	se apresse
id buy that	eu compraria aquele
i have won	eu venci
youre old	você está velho
